Company Name,Funding Type,LinkedIn Company URL,Website URL
OpenClinic,Pre-Seed,https://www.linkedin.com/company/openclinic/,https://www.openclinic.com/
Revi,Pre-Seed,https://www.linkedin.com/company/revi-ai/,https://www.revi.ai/
Roundabout Technologies,Pre-Seed,https://www.linkedin.com/company/roundabout-tech/,https://www.roundabout.tech/
Galini,Pre-Seed,https://www.linkedin.com/company/galini-ai/,https://www.galini.ai/
Metreecs,Pre-Seed,https://www.linkedin.com/company/metreecs/,https://www.metreecs.com/
Grw AI,Pre-Seed,https://www.linkedin.com/company/grwai/,https://www.grw.ai/
Platus,Pre-Seed,https://www.linkedin.com/company/platus-inc/,https://www.platus.com/
Karmen,Pre-Seed,https://www.linkedin.com/company/karmenai/,https://try.karmenai.com/
PermitPortal,Pre-Seed,https://www.linkedin.com/company/permitportal/,https://permitportalapp.com/
Encore,Pre-Seed,https://www.linkedin.com/company/encore-ai-labs/,https://www.shopencore.ai/
Summed AI,Pre-Seed,https://www.linkedin.com/company/summed-ai/,https://summed.ai/
HumanLayer,Pre-Seed,https://www.linkedin.com/company/humanlayer-dev/,https://www.humanlayer.dev/
ISSEN,Pre-Seed,,https://www.issen.com/
Pearson Labs,Pre-Seed,,https://pearsonlabs.ai/
Andoria,Pre-Seed,https://www.linkedin.com/company/andoriaai/,https://andoria.ai/
HealthSpark,Pre-Seed,https://www.linkedin.com/company/health-spark,https://www.joinhealthspark.com/
Symphony,Pre-Seed,https://www.linkedin.com/company/talk-to-symphony/,https://www.getsymphony.co/
Coblocks,Pre-Seed,https://www.linkedin.com/company/coblocks/,https://coblocks.ai/
fixa,Pre-Seed,https://www.linkedin.com/company/pixadev/,https://www.fixa.dev/
Lune AI,Pre-Seed,https://www.linkedin.com/company/lune-ai/,https://www.lune.dev/
Aditto,Pre-Seed,https://www.linkedin.com/company/aditto-co/,https://aditto.co/
Canvas AI,Pre-Seed,https://www.linkedin.com/company/canvasai/about/,https://www.canvas.inc/
Gander,Pre-Seed,https://www.linkedin.com/company/usegander/,https://usegander.com/
Abundant,Pre-Seed,https://www.linkedin.com/company/abundant-ai/,https://www.abundant.ai/
Friday,Pre-Seed,https://www.linkedin.com/company/fridaymail/,https://www.fridaymail.ai/
